#Table or View Name,Type
SPECIMEN_ORDER_VIEW,view
SHIPMENT_BASE_VIEW,view
SPECIMEN_SHIPMENT_VIEW,view
CSM_APPLICATION
CSM_GROUP
CSM_MIGRATE_USER
CSM_PG_PE
CSM_PRIVILEGE
CSM_PROTECTION_ELEMENT
CSM_PROTECTION_GROUP
CSM_ROLE
CSM_ROLE_PRIVILEGE
CSM_USER
CSM_USER_GROUP
CSM_USER_GROUP_ROLE_PG
CSM_USER_PE
CATISSUE_AUDIT_EVENT
CATISSUE_AUDIT_EVENT_DETAILS
CATISSUE_AUDIT_EVENT_LOG
CATISSUE_AUDIT_EVENT_QUERY_LOG
CATISSUE_LOGIN_AUDIT_EVENT_LOG
CATISSUE_DATA_AUDIT_EVENT_LOG
CURATED_PATH_TO_PATH
COMMONS_GRAPH
COMMONS_GRAPH_EDGE
COMMONS_GRAPH_TO_EDGES
COMMONS_GRAPH_TO_VERTICES
INTER_MODEL_ASSOCIATION
INTRA_MODEL_ASSOCIATION
QUERY_JOIN_GRAPH
PATH
QUERY
QUERY_ARITHMETIC_OPERAND
QUERY_BASE_EXPR_OPND
QUERY_BASE_EXPRESSION
QUERY_BASEEXPR_TO_CONNECTORS
QUERY_CONDITION
QUERY_CONDITION_VALUES
QUERY_CONNECTOR
QUERY_CONSTRAINT_TO_EXPR
QUERY_CONSTRAINTS
QUERY_CUSTOM_FORMULA
QUERY_EXPRESSION
QUERY_FORMULA_RHS
QUERY_INTER_MODEL_ASSOCIATION
QUERY_INTRA_MODEL_ASSOCIATION
QUERY_JOIN_GRAPH
QUERY_MODEL_ASSOCIATION
QUERY_OPERAND
QUERY_OUTPUT_ATTRIBUTE
QUERY_OUTPUT_TERM
QUERY_PARAMETER
QUERY_PARAMETERIZED_QUERY
QUERY_QUERY_ENTITY
QUERY_RULE_COND
QUERY_SUBEXPR_OPERAND
QUERY_TO_OUTPUT_TERMS
QUERY_TO_PARAMETERS
ASSOCIATION
BASE_SCHEDULE
CATEGORY
CATEGORIAL_CLASS
CATEGORIAL_ATTRIBUTE
CATISSUE_CLINICAL_DIAGNOSIS
CATISSUE_CP_STUDYFORMCONTEXT
CATISSUE_QUANTITY
CATISSUE_QUARANTINE_PARAMS
CATISSUE_CONCEPT_CLASSIFICATN
CATISSUE_CONCEPT_REFERENT
CATISSUE_CONT_HOLDS_SPARRTYPE
CATISSUE_CP_EXTAPP_STUDY_REL
CATISSUE_CP_USER_ROLES
CATISSUE_DEPARTMENT
CATISSUE_DERIEVED_SP_ORD_ITEM
CATISSUE_DISTRIBUTED_ITEM
CATISSUE_DISTRIBUTION
CATISSUE_EQUIPMENT
CATISSUE_EXIST_SP_AR_ORD_ITEM
CATISSUE_EXISTING_SP_ORD_ITEM
CATISSUE_EXTERNAL_APPLICATION
CATISSUE_IMAGE
CATISSUE_LDAP_DETAILS
CATISSUE_NEW_SP_AR_ORDER_ITEM
CATISSUE_NEW_SPEC_ORD_ITEM
CATISSUE_NEXTGEN_AUDIT_DETAILS
CATISSUE_NOTIFICATION_STATUS
CATISSUE_ORDER
CATISSUE_ORDER_ITEM
CATISSUE_PATH_CASE_ORDER_ITEM
CATISSUE_PRIVILEGES
CATISSUE_REPORT_BICONTENT
CATISSUE_REPORTED_PROBLEM
CATISSUE_ROLE_PRIVILEGES
CATISSUE_ROLES
CATISSUE_SEMANTIC_TYPE
CATISSUE_SHIPMENT
CATISSUE_SHIPMENT_CONTAINR_REL
CATISSUE_SHIPMENT_REQUEST
CATISSUE_SP_ARRAY_ORDER_ITEM
CATISSUE_SPECI_ARRAY_CONTENT
CATISSUE_SPECI_SHIPMNT_REQ_REL
CATISSUE_SPECIMEN_ARRAY
CATISSUE_SPECIMEN_ARRAY_TYPE
CATISSUE_SPECIMEN_ORDER_ITEM
CATISSUE_SPECIMEN_PRINT_DATA
CATISSUE_SPECIMEN_REQUIREMENT
CATISSUE_SPECIMEN_TYPE
CATISSUE_STOR_CONT_UTILIZATION
CATISSUE_STORAGE_CONTAINERS
CATISSUE_STORAGE_TYPE
CATISSUE_STORTY_HOLDS_SPARRTY
CATISSUE_SYNCH_CP_AUDIT
JOB_DETAILS
OS_DISTRIBUTION_PROTOCOL
OS_SPECIMEN_PRINT_RULE
REPORT_DETAILS
REPORT_JOB_DETAILS
REPORT_SCHEDULE
SCHEDULE
SCHEDULED_ITEMS
CATISSUE_CAPACITY
CATISSUE_AUTH_DOMAINS
CATISSUE_CONTAINER_TYPE
CATISSUE_AUTH_PROVIDERS
CATISSUE_STOR_TYPE_HOLDS_TYPE
CATISSUE_STOR_TYPE_SPEC_CLASS
CATISSUE_STOR_TYPE_SPEC_TYPE
CATISSUE_SPECIMEN_LABEL_COUNT
CATISSUE_CELL_REQ_SPECIMEN
CATISSUE_CELL_SPECIMEN
CATISSUE_MOL_REQ_SPECIMEN
CATISSUE_MOLECULAR_SPECIMEN
DE_OBJECT_ATTR_RECORD_VALUES
DE_FILE_ATTR_RECORD_VALUES
DYEXTN_ABSTR_CONTAIN_CTR
DYEXTN_ABSTRACT_ENTITY
DYEXTN_ABSTRACT_FORM_CONTEXT
DYEXTN_ABSTRACT_METADATA
DYEXTN_ABSTRACT_RECORD_ENTRY
DYEXTN_ASSO_DISPLAY_ATTR
DYEXTN_ASSOCIATION
DYEXTN_ATTRIBUTE
DYEXTN_ATTRIBUTE_RECORD
DYEXTN_ATTRIBUTE_TYPE_INFO
DYEXTN_BARR_CONCEPT_VALUE
DYEXTN_BASE_ABSTRACT_ATTRIBUTE
DYEXTN_BOOLEAN_CONCEPT_VALUE
DYEXTN_BOOLEAN_TYPE_INFO
DYEXTN_BYTE_ARRAY_TYPE_INFO
DYEXTN_CADSR_VALUE_DOMAIN_INFO
DYEXTN_CADSRDE
DYEXTN_CALCULATED_ATTRIBUTE
DYEXTN_CAT_ASSO_CTL
DYEXTN_CATEGORY
DYEXTN_CATEGORY_ASSOCIATION
DYEXTN_CATEGORY_ATTRIBUTE
DYEXTN_CATEGORY_ENTITY
DYEXTN_CHECK_BOX
DYEXTN_COLUMN_PROPERTIES
DYEXTN_COMBOBOX
DYEXTN_CONSTRAINT_PROPERTIES
DYEXTN_CONSTRAINTKEY_PROP
DYEXTN_CONTAINER
DYEXTN_CONTAINMENT_CONTROL
DYEXTN_CONTROL
DYEXTN_DATA_ELEMENT
DYEXTN_DATA_GRID
DYEXTN_DATABASE_PROPERTIES
DYEXTN_DATE_CONCEPT_VALUE
DYEXTN_DATE_TYPE_INFO
DYEXTN_DATEPICKER
DYEXTN_DOUBLE_CONCEPT_VALUE
DYEXTN_DOUBLE_TYPE_INFO
DYEXTN_ENTITY
DYEXTN_ENTITY_GROUP
DYEXTN_ENTITY_MAP
DYEXTN_ENTITY_MAP_CONDNS
DYEXTN_ENTITY_MAP_RECORD
DYEXTN_ENTIY_COMPOSITE_KEY_REL
DYEXTN_FILE
DYEXTN_FILE_EXTENSIONS
DYEXTN_FILE_TYPE_INFO
DYEXTN_FILE_UPLOAD
DYEXTN_FLOAT_CONCEPT_VALUE
DYEXTN_FLOAT_TYPE_INFO
DYEXTN_FORM_CONTEXT
DYEXTN_FORM_CTRL_NOTES
DYEXTN_FORMULA
DYEXTN_ID_GENERATOR
DYEXTN_INTEGER_CONCEPT_VALUE
DYEXTN_INTEGER_TYPE_INFO
DYEXTN_LABEL
DYEXTN_LIST_BOX
DYEXTN_LONG_CONCEPT_VALUE
DYEXTN_LONG_TYPE_INFO
DYEXTN_MULTISELECT_CHECK_BOX
DYEXTN_NUMERIC_TYPE_INFO
DYEXTN_OBJECT_TYPE_INFO
DYEXTN_PATH
DYEXTN_PATH_ASSO_REL
DYEXTN_PERMISSIBLE_VALUE
DYEXTN_PRIMITIVE_ATTRIBUTE
DYEXTN_RADIOBUTTON
DYEXTN_ROLE
DYEXTN_RULE
DYEXTN_RULE_PARAMETER
DYEXTN_SELECT_CONTROL
DYEXTN_SEMANTIC_PROPERTY
DYEXTN_SHORT_CONCEPT_VALUE
DYEXTN_SHORT_TYPE_INFO
DYEXTN_SKIP_LOGIC_ATTRIBUTE
DYEXTN_SQL_AUDIT
DYEXTN_STRING_CONCEPT_VALUE
DYEXTN_STRING_TYPE_INFO
DYEXTN_TABLE_PROPERTIES
DYEXTN_TAGGED_VALUE
DYEXTN_TEXTAREA
DYEXTN_TEXTFIELD
DYEXTN_USERDEF_DE_VALUE_REL
DYEXTN_USERDEFINED_DE
DYEXTN_VIEW
